Team,Color 1,Color 2,Color 3,Color 4,Color 5
BAL,#241773,#000000,#9E7C0C,#C60C30,
CIN,#FB4F14,#000000,,,
CLE,#311D00,#FF3C00,,,
PIT,#FFB612,#101820,#003087,#C60C30,#A5ACAF
BUF,#00338D,#C60C30,,,
MIA,#008E97,#FC4C02,#005778,,
NE,#002244,#C60C30,#B0B7BC,,
NYJ,#125740,#000000,#FFFFFF,,
HOU,#03202F,#A71930,,,
IND,#002C5F,#A2AAAD,,,
JAX,#101820,#D7A22A,#9F792C,#006778,
TEN,#0C2340,#4B92DB,#C8102E,#8A8D8F,
DEN,#FB4F14,#002244,,,
KC,#E31837,#FFB81C,,,
LV,#000000,#A5ACAF,,,
LAC,#0080C6,#FFC20E,#FFFFFF,,
CHI,#0B162A,#C83803,,,
DET,#0076B6,#B0B7BC,#000000,#FFFFFF,
GB,#203731,#FFB612,,,
MIN,#4F2683,#FFC62F,,,
DAL,#003594,#041E42,#869397,#7F9695,#FFFFFF
NYG,#0B2265,#A71930,#A5ACAF,,
PHI,#004C54,#A5ACAF,#ACC0C6,#000000,#565A5C
WAS,#5A1414,#FFB612,,,
ATL,#A71930,#000000,#A5ACAF,,
CAR,#0085CA,#101820,#BFC0BF,,
NO,#D3BC8D,#101820,,,
TB,#D50A0A,#FF7900,#FF7900,#B1BABF,#34302B
ARI,#97233F,#000000,#FFB612,,
LA,#003594,#FFA300,#FF8200,#FFD100,#FFFFFF
SF,#AA0000,#B3995D,,,
SEA,#002244,#69BE28,#A5ACAF,,

